instance_name,num_facilities,num_customers,original_solution_value,original_execution_time,relaxation_solution_value,relaxation_solution_time,OR_Library_Solution_Value
cap101,25,50,796648.4375,0.027788877487182617,133075.15,0.014998197555541992,796648.4
cap102,25,50,854704.2000000001,0.04355764389038086,253075.15,0.014842510223388672,854704.2
cap103,25,50,893782.1124999999,0.042908668518066406,373075.15,0.014204740524291992,893782.1
cap104,25,50,928941.75,0.05571794509887695,553075.1500000001,0.013570785522460938,928941.8
cap121,50,50,793439.5625000001,0.18846392631530762,645705.4500000001,0.09220051765441895,793439.6
cap122,50,50,854900.4500000001,0.24407434463500977,655007.1897540374,1.0710411071777344,854900.5
cap123,50,50,898266.075,0.24187469482421875,664312.7301379278,1.7820219993591309,898266.1
cap124,50,50,950608.4249999999,0.2500431537628174,673930.3980123771,1.9739673137664795,950608.4
cap131,50,50,793439.5625000001,0.057427167892456055,-435994.55000000005,0.028876304626464844,793439.6
cap132,50,50,851495.3250000001,0.05988335609436035,-190994.55000000005,0.01950693130493164,851495.3
cap133,50,50,893076.7125,0.07751989364624023,54005.449999999975,0.02090167999267578,893076.7
cap134,50,50,928941.7500000001,0.07152700424194336,421505.45,0.020789384841918945,928941.8
cap61,16,50,932615.75,0.022893905639648438,859604.1875,0.02267765998840332,932615.8
cap62,16,50,977799.4,0.03791165351867676,870706.9923721139,0.041261911392211914,977799.4
cap63,16,50,1014099.6124999999,0.07036566734313965,881850.6999852702,0.04549264907836914,1014100.0
cap64,16,50,1053197.4374999998,0.24271583557128906,898953.1763177488,0.06283807754516602,1053197.0
cap71,16,50,932615.75,0.011381149291992188,513460.18750000006,0.008269786834716797,932615.7
cap72,16,50,977799.4,0.02099752426147461,588460.1875,0.007999658584594727,977799.4
cap73,16,50,1010641.4500000001,0.024008512496948242,663460.1875,0.007999420166015625,1010641.0
cap74,16,50,1034976.9750000001,0.029201984405517578,775960.1875,0.011397123336791992,1034977.0
cap91,25,50,796648.4375,0.03699612617492676,673925.1500000001,0.03713583946228027,796648.4
cap92,25,50,858109.3250000001,0.07528829574584961,683300.996090865,0.08851242065429688,858109.3
cap93,25,50,900760.1124999999,0.13600516319274902,692663.5909257339,0.13539743423461914,900760.1
cap94,25,50,950608.425,0.19069433212280273,700302.140095278,0.160125732421875,950608.4
capa1,100,1000,19241056.932839997,1495.1544444561005,3165188.2439352362,448.80066180229187,19241056.93
capa2,100,1000,18438329.784719992,2097.1724469661713,3121056.1795536284,446.0559344291687,18438329.78
capa3,100,1000,17765201.948989995,784.6653516292572,3102623.330165561,439.9485492706299,17765201.95
capa4,100,1000,17160612.234279998,393.61832666397095,3087734.8260670663,440.77357602119446,17160612.23
capb1,100,1000,13657464.230440002,267.67506098747253,3175898.179253145,440.7565047740936,13657464.23
capb2,100,1000,13362529.341509994,516.8400099277496,3123879.7057945593,438.2879478931427,13362529.34
capb3,100,1000,13199213.185579998,630.7750205993652,3081565.7502742573,438.55915093421936,13199213.19
capb4,100,1000,13083413.57571,757.1889474391937,3053545.4616347626,438.1859223842621,13083203.74
capc1,100,1000,11647410.497140002,244.2221782207489,2943076.4336265656,441.90215945243835,11647410.5
capc2,100,1000,11570437.680130001,491.10294818878174,2916836.9125189683,439.1821701526642,11570437.68
capc3,100,1000,11519169.784370001,366.3762183189392,2896749.683323933,439.91537737846375,11519169.78
capc4,100,1000,11505861.864359997,425.3297030925751,2865396.951378009,440.1223521232605,11505861.86
