name,value,execution_time,feasible_solution_value
cap101,653995.5623056967,0.07741856575012207,832291.1499999999
cap102,655710.923654908,0.07914972305297852,952291.1499999999
cap103,656580.95051966,0.09167051315307617,1072291.15
cap104,659138.7875578251,0.14539337158203125,1252291.15
cap121,637914.8033050023,0.2244873046875,991571.4500000001
cap122,644012.3283211108,0.12187981605529785,1236571.4500000002
cap123,649084.7680624631,0.12568020820617676,1481571.4500000002
cap124,671844.1261057017,0.2229008674621582,1849071.4500000002
cap131,626161.2813261701,0.11731505393981934,991571.4500000001
cap132,627684.7036786675,0.18601346015930176,1236571.4500000002
cap133,629311.5703182557,0.22424650192260742,1481571.4500000002
cap134,631424.2597510056,0.2817072868347168,1849071.4500000002
cap61,854807.4702588851,0.028044462203979492,950470.1875000002
cap62,863973.07653513,0.028022050857543945,1025470.1875000002
cap63,875966.8204322961,0.037017822265625,1102940.9875000003
cap64,889849.1968579309,0.03513836860656738,1215440.9875000003
cap71,839441.358747659,0.02401113510131836,950470.1875000002
cap72,840923.879830946,0.03165435791015625,1025470.1875000002
cap73,842478.0444503322,0.05021548271179199,1100470.1875000002
cap74,845422.6993579938,0.06015205383300781,1212970.1875000002
cap91,666261.5963365661,0.045999765396118164,832347.6499999999
cap92,672699.3315009782,0.04221057891845703,952347.6499999999
cap93,677789.627667892,0.042999982833862305,1072347.65
cap94,693920.7347257606,0.07488155364990234,1252347.65
capa1,9055622.53169082,20.990789890289307,183126149.09887
capa2,7252411.789334387,21.119876384735107,182998664.13504
capa3,6293640.151619206,19.373496294021606,182901127.39488
capa4,5716417.300008742,22.660380125045776,182849861.07597
capb1,6821555.773129859,8.869578123092651,74889387.51811
capb2,5956583.1066377135,10.370601654052734,75397162.87783
capb3,5455399.189277984,9.896476030349731,76890004.16975
capb4,5012742.313278632,9.656651496887207,76814389.21704
capc1,5931035.415836647,8.797827005386353,56142688.82481
capc2,5411539.713752021,8.412147521972656,56116215.41868
capc3,5097810.699692648,8.26704740524292,56072217.13653
capc4,4834125.581857572,10.225717782974243,56073918.05367
