name,N,M,value,execution_time,ref_value
cap101,25,50,796648.4375,0.05467534065246582,796648.4
cap102,25,50,854704.2000000001,0.038184165954589844,854704.2
cap103,25,50,893782.1124999999,0.03699612617492676,893782.1
cap104,25,50,928941.75,0.04799771308898926,928941.8
cap121,50,50,793439.5625000001,0.15487265586853027,793439.6
cap122,50,50,854900.4500000001,0.19815540313720703,854900.5
cap123,50,50,898266.075,0.2654428482055664,898266.1
cap124,50,50,950608.4249999999,0.2261037826538086,950608.4
cap131,50,50,793439.5625000001,0.0451350212097168,793439.6
cap132,50,50,851495.3250000001,0.060006141662597656,851495.3
cap133,50,50,893076.7125,0.07072114944458008,893076.7
cap134,50,50,928941.7500000001,0.07301688194274902,928941.8
cap61,16,50,932615.75,0.02010965347290039,932615.8
cap62,16,50,977799.4,0.028549671173095703,977799.4
cap63,16,50,1014099.6124999999,0.06133723258972168,1014100.0
cap64,16,50,1053197.4374999998,0.07041025161743164,1053197.0
cap71,16,50,932615.75,0.010339975357055664,932615.7
cap72,16,50,977799.4,0.021244049072265625,977799.4
cap73,16,50,1010641.4500000001,0.023008108139038086,1010641.0
cap74,16,50,1034976.9750000001,0.02359485626220703,1034977.0
cap91,25,50,796648.4375,0.031998634338378906,796648.4
cap92,25,50,858109.3250000001,0.07619857788085938,858109.3
cap93,25,50,900760.1124999999,0.14093732833862305,900760.1
cap94,25,50,950608.425,0.1648862361907959,950608.4
capa1,100,1000,19241056.932839997,1536.0240635871887,19241056.93
capa2,100,1000,18438329.784719992,2147.8009779453278,18438329.78
capa3,100,1000,17765201.948989995,811.9502696990967,17765201.95
capa4,100,1000,17160612.234279998,404.26626229286194,17160612.23
capb1,100,1000,13657464.230440002,275.66165566444397,13657464.23
capb2,100,1000,13362529.341509994,529.9559779167175,13362529.34
capb3,100,1000,13199213.185579998,669.4037108421326,13199213.19
capb4,100,1000,13083413.57571,805.2439346313477,13083203.74
capc1,100,1000,11647410.497140002,246.34727025032043,11647410.5
capc2,100,1000,11570437.680130001,511.44184589385986,11570437.68
capc3,100,1000,11519169.784370001,379.8625531196594,11519169.78
capc4,100,1000,11505861.864359997,444.7000164985657,11505861.86
